,BusDesc,B1_PER_SUB_TYPE,DBA,Business_Location,add,add_num,street,new_name,alcohol
1111,COMMERCIAL RENTAL PROPERTY,Rental of Real Property,YI CHONG SUN,"1748 SHATTUCK AVE
BERKELEY, CA 94709
(37.875820989, -122.269070988)",1748 SHATTUCK AVE,1748,SHATTUCKAVE,YICHONGSUN,False
1112,GRAPHIC DESIGN SERVICES,Professional SemiProfessional,BURGER NOLA,"2405 VALLEY ST
BERKELEY, CA 94702
(37.863322984, -122.283876027)",2405 VALLEY ST,2405,VALLEYST,BURGERNOLA,False
1113,BAKERY - WHOLESALE,Wholesale Trade,IL MOLINETTO BAKERY ART OF ARA,"1287 GILMAN ST
BERKELEY, CA 94706
(37.881530059, -122.290138055)",1287 GILMAN ST,1287,GILMANST,ILMOLINETTOBAKERYARTOFARA,False
1115,WHOLESALE COFFEE,Administrative Headquarters,INCASA INC DBA INCASA COFFEE,"2835 BUENA VISTA WAY
BERKELEY, CA 94708
(37.881651985, -122.256452032)",2835 BUENA VISTA WAY,2835,BUENAVISTAWAY,ASADBAASACOFFEE,False
1117,SELLING ORIGINAL ART AND ART PRINTS ONLINE. ART AND SHIPPING MATERIALS WILL BE STORED IN MY APARTMENT.,Retail Trade,INFANTE ART & PRINTS,"1737 SOLANO AVE 109
BERKELEY, CA 94707
(37.891453993, -122.281885996)",1737 SOLANO AVE 109,1737,SOLANOAVE,INFANTEARTPRINTS,False
1118,DESIGN MANAGEMENT CONSULTING,Professional SemiProfessional,CULVAHOUSE CONSULTING,"2919 FLORENCE ST
BERKELEY, CA 94705
(37.857116017, -122.257967983)",2919 FLORENCE ST,2919,FLORENCEST,CULVAHOUSECONSULTING,False
1119,SERVICE STATION,Retail Trade,DELTAN DIVERSIFIED INC,"1300 SAN PABLO AVE
BERKELEY, CA 94702
(37.88014999, -122.296087035)",1300 SAN PABLO AVE,1300,SANPABLOAVE,DELTANDIVERSIFIED,False
1120,REAL ESTATE OFFICE,Professional SemiProfessional,SEXTON GROUP R.E.,"1647 HOPKINS ST
BERKELEY, CA 94707
(37.882535019, -122.280673972)",1647 HOPKINS ST,1647,HOPKINSST,SEXTONGROUPRE,False
1121,RESIDENTIAL -6 UNITS,Rental of Real Property,YEE ALVIN & YEE KWOK M,"2334 BROWNING ST
BERKELEY, CA 94702
(37.863853014, -122.287637993)",2334 BROWNING ST,2334,BROWNINGST,YEEALVINYEEKWOKM,False
1122,GROCERY,Grocer,STAR GROCERY,"3068 CLAREMONT AVE
BERKELEY, CA 94705
(37.854850012, -122.248387971)",3068 CLAREMONT AVE,3068,CLAREMONTAVE,STARGROCERY,True
1124,ART GALLERY,Professional SemiProfessional,ASHBY ARTS SPACE,"2035 ASHBY AVE
BERKELEY, CA 94703
(37.855305987, -122.26840404)",2035 ASHBY AVE,2035,ASHBYAVE,ASHBYARTSSPACE,False
1125,COMMERCIAL RENTAL PROPERTY,Rental of Real Property,GORDON JOHN/MITCHELL JANIS,"2014 SHATTUCK AVE
BERKELEY, CA 94704
(37.871642987, -122.268686007)",2014 SHATTUCK AVE,2014,SHATTUCKAVE,GORDONJOHNMITCHELLJANIS,False
1128,HAIR SALON,Business Personal Repair Svs,SAYU HAIR SALON LLC,"2511 HEARST AVE
BERKELEY, CA 94709
(37.875429009, -122.259597006)",2511 HEARST AVE,2511,HEARSTAVE,SAYUHAIRSALONLLC,False
1129,YOGA/MASSAGE SPA,Massage,NANG SIDA THAI YOGA MASSAGE,"2124 DWIGHT WAY
BERKELEY, CA 94704
(37.863910011, -122.266566978)",2124 DWIGHT WAY,2124,DWIGHTWAY,NANGSIDATHAIYOGAMASSAGE,False
1130,HAIR SALON,Business Personal Repair Svs,LA TOUR SALON,"2941 COLLEGE AVE
BERKELEY, CA 94705
(37.857603006, -122.252888969)",2941 COLLEGE AVE,2941,COLLEGEAVE,LATOURSALON,False
1132,ARCHITECT,Professional SemiProfessional,HAMMER MARTIN ARCHITECT,"1348 HOPKINS ST
BERKELEY, CA 94702
(37.878947983, -122.286649012)",1348 HOPKINS ST,1348,HOPKINSST,HAMMERMARTINARCHITECT,False
1134,RES RENTAL PROPERTY,Rental of Real Property,1356 SOUTH 50TH LLC,"2332 NINTH ST
BERKELEY, CA 94710
(37.862884988, -122.292894033)",2332 NINTH ST,2332,NINTHST,1356SOUTH50THLLC,False
1135,DESIGN,Professional SemiProfessional,LEGER WANASELJA ARCHITECTURE,"2792 SHASTA RD
BERKELEY, CA 94708
(37.887628995, -122.256257991)",2792 SHASTA RD,2792,SHASTARD,LEGERWANASELJAARCHITECTURE,False
1136,RENTAL PROPERTY,Rental of Real Property,2398 PARKER ST LLC,"2398 PARKER ST
BERKELEY, CA 94704
(37.862761984, -122.260527984)",2398 PARKER ST,2398,PARKERST,2398PARKERSTLLC,False
1138,RENTALS  3 APTS,Rental of Real Property,TATE VANOLUE,"2635 SACRAMENTO ST
BERKELEY, CA 94702
(37.859837999, -122.280036026)",2635 SACRAMENTO ST,2635,SACRAMENTOST,TATEVANOLUE,False
1141,GRAPHIC & ART RELATED DESIGNS,Professional SemiProfessional,CELERY DESIGN COLLABORATIVE,"1716 SAN PABLO AVE
BERKELEY, CA 94702
(37.872857986, -122.293762985)",1716 SAN PABLO AVE,1716,SANPABLOAVE,CELERYDESIGNCOLLABORATIVE,False
1142,RENTAL RESIDENTIAL - 5 UNITS,Rental of Real Property,HENDRICKSON DENNIS,"1132 FRANCISCO ST
BERKELEY, CA 94702
(37.872559003, -122.291690978)",1132 FRANCISCO ST,1132,FRANCISCOST,HENDRICKSONDENNIS,False
1145,BUILD CONSERVATION LEADERS & LIFELONG STEWARDSHIP OF THE ENVIRONMENT & COMMUNITIES,Non Profit Organizations,THE STUDENT CONSERVATION ASSOCIATION INC,"2150 ALLSTON WAY 320
BERKELEY, DE 94704
(37.869156999, -122.26652599)",2150 ALLSTON WAY 320,2150,ALLSTONWAY,THESTUDENTCONSERVATIONASSOCIATION,False
1146,RESIDENTIAL RENTAL - 3 UNITS,Rental of Real Property,JACKSON JUDY,"47 BRET HARTE RD
BERKELEY, CA 94708
(37.890466982, -122.261224018)",47 BRET HARTE RD,47,BRETHARTERD,JACKSONJUDY,False
1149,USED CAR SALES,Motor Vehicle Sales,TOYOTA OF BERKELEY,"2555 SHATTUCK AVE
BERKELEY, CA 94704
(37.862964993, -122.266675021)",2555 SHATTUCK AVE,2555,SHATTUCKAVE,TOYOTAOFBERKELEY,False
1151,CONVENIENCE STORE,Retail Trade,ADSD ENTERPRISES INC,"2552 TELEGRAPH AVE
BERKELEY, CA 94704
(37.864498001, -122.259060984)",2552 TELEGRAPH AVE,2552,TELEGRAPHAVE,ADSDENTERPRISES,True
1154,RENTAL PROPERTY 10 UNITS,Rental of Real Property,1301 HEARST AVENUE LLC,"1301 HEARST AVE
BERKELEY, CA 94702
(37.871552002, -122.286496964)",1301 HEARST AVE,1301,HEARSTAVE,1301HEARSTAVENUELLC,False
1158,SORORITY,Non Profit Organizations,GAMMA PHI BETA HOUSE CORP,"2732 CHANNING WAY
BERKELEY, CA 94704
(37.867430997, -122.252555034)",2732 CHANNING WAY,2732,CHANNINGWAY,GAMMAPHIBETAHOUSECORP,False
1160,COMMERCIAL RENTAL,Rental of Real Property,GRAYSON STREET PROPERTY,"914 GRAYSON ST
BERKELEY, CA 94710
(37.855235998, -122.291761973)",914 GRAYSON ST,914,GRAYSONST,GRAYSONSTREETPROPERTY,False
1161,COFFEE BEANS & COFFEE RELATED GOODS,Retail Trade,COFFEE SOCIETY LLC,"2322 FIFTH ST
BERKELEY, CA 94703
(37.862890111, -122.297331569)",2322 FIFTH ST,2322,FIFTHST,COFFEESOCIETYLLC,False
1162,PRESCHOOL,Non Profit Organizations,ECOLE BILLINGUE,"2830 TENTH ST
BERKELEY, CA 94710
(37.854823986, -122.289124021)",2830 TENTH ST,2830,TENTHST,ECOLEBILLINGUE,False
1163,BOARDING HOUSE,Non Profit Organizations,UNIVERSITY STUDENTS' COOP,"1601 ALLSTON WAY 76
BERKELEY, CA 94703
(37.868897998, -122.27892601)",1601 ALLSTON WAY 76,1601,ALLSTONWAY,UNIVERSITYSTUDENTSCOOP,False
1165,RENTAL PROPERTY-1 UNIT (U1),Rental of Real Property,VINCENT & GERST LLC,"2777 NINTH ST 21
BERKELEY, CA 94710
(37.856068992, -122.289856012)",2777 NINTH ST 21,2777,NINTHST,VENTGERSTLLC,False
1167,RESIDENTIAL RENTAL PROP -2 UNITS (U1),Rental of Real Property,JAMES NOVOSEL & CELIA KARIAN,"2418 CALIFORNIA ST
BERKELEY, CA 94703
(37.863574986, -122.279428003)",2418 CALIFORNIA ST,2418,CALIFORNIAST,JAMESNOVOSELCELIAKARIAN,False
1169,RESIDENTIAL RENTAL - 3 UNITS,Rental of Real Property,MOHAMED MOHAMED B & LALIA B,"1408 NINTH ST
BERKELEY, CA 94710
(37.877810014, -122.297712035)",1408 NINTH ST,1408,NINTHST,MOHAMEDMOHAMEDBLALIAB,False
