"License Number","Status","License Type","Orig. Iss. Date","Expir. Date","Primary Owner","Premises Addr.","Business Name","Geo Code"
"119912","ACTIVE","21","03/29/1982","02/28/2025","MOSLEH, HEZAM N","3198 ADELINE ST,BERKELEY, CA  94703Census Tract:  4239.01","M & H MARKET & LIQUOR","0103"
"127292","ACTIVE","51","09/15/1982","02/28/2025","WOMENS FACULTY CLUB OF U C INC","UC WOMENS FACULTY CLUB BLDG,BERKELEY, CA  94720-6055Census Tract:  4227.00","WOMENS FACULTY CLUB THE","0103"
"128995","ACTIVE","20","01/25/1983","05/31/2025","KERMIT LYNCH WINE MERCHANT","1605 SAN PABLO AVE,BERKELEY, CA  94702Census Tract:  4222.00","KERMIT LYNCH WINE MERCHANT","0103"
"164369","ACTIVE","41","08/28/1985","09/30/2024","HOMEMADE INC","2454 SACRAMENTO ST,BERKELEY, CA  94702Census Tract:  4231.00","HOMEMADE CAFE","0103"
"165761","ACTIVE","41","12/24/1985","01/31/2025","VALIYEE, REZA","2112-14-16 CHANNING WY,BERKELEY, CA  94704Census Tract:  4229.01","CAFE ROMANCE  MAMAS BED & BREAKFAST INN","0103"
"176750","ACTIVE","41","11/27/1985","10/31/2024","LA BONTA FOODS INCORPORATED","1400 SHATTUCK AVE, SPACE 5 & 6,BERKELEY, CA  94709-1411Census Tract:  4217.00","LO COCOS","0103"
"182418","ACTIVE","41","02/19/1986","08/31/2024","CHEESE BOARD INC THE","1512 SHATTUCK AVE,BERKELEY, CA  94709Census Tract:  4217.00","","0103"
"184905","ACTIVE","20","04/11/1986","05/31/2025","JUHA, GEORGE S","2442 DURANT AVE,BERKELEY, CA  94704Census Tract:  4228.00","","0103"
"194489","ACTIVE","21","02/20/1987","06/30/2025","SAFEWAY INC","1444 SHATTUCK PL,BERKELEY, CA  94709Census Tract:  4217.00","SAFEWAY INC #691","0103"
"202696","ACTIVE","41","11/18/1987","06/30/2025","ZACHARYS CHICAGO PIZZA INC","1853 SOLANO AVE,BERKELEY, CA  94707Census Tract:  4213.00","ZACHARYS CHICAGO PIZZA INC","0103"
"227484","ACTIVE","41","02/01/1989","04/30/2025","KOMINE, AKIRA","2100 WARD ST,BERKELEY, CA  94705Census Tract:  4235.00","KIRALA INC","0103"
"231365","ACTIVE","41","03/30/1989","05/31/2025","ELIYAN, WALID","1832 EUCLID AVE,BERKELEY, CA  94709Census Tract:  4225.00","LA BURRITA","0103"
"235457","ACTIVE","20","07/25/1989","07/31/2025","FUJITA, LARRY","1220 SAN PABLO AVE,BERKELEY, CA  94706Census Tract:  4220.00","TOKYO FISH MARKET","0103"
"239076","ACTIVE","21","08/02/1990","06/30/2025","WHOLE FOODS MARKET CALIFORNIA INC","3000 TELEGRAPH AVE,BERKELEY, CA  94705Census Tract:  4239.02","WHOLE FOODS MARKET","0103"
"239076","ACTIVE","86","08/02/1990","06/30/2025","WHOLE FOODS MARKET CALIFORNIA INC","3000 TELEGRAPH AVE,BERKELEY, CA  94705Census Tract:  4239.02","WHOLE FOODS MARKET","0103"
"245416","ACTIVE","41","08/16/1990","06/30/2025","MUSICAL OFFERING PARTNERSHIP THE L-PSHIP","2430 BANCROFT WY,BERKELEY, CA  94704Census Tract:  4228.00","MUSICAL OFFERING CAFE THE","0103"
"265862","ACTIVE","41","12/27/1991","02/28/2025","HOUGHTON, GUSTAVO C","1881 SOLANO AVE,BERKELEY, CA  94707Census Tract:  4213.00","CACTUS TAQUERIA","0103"
"284014","ACTIVE","41","05/18/1993","04/30/2025","LA MEDITERRANEE III INC","2936 COLLEGE AVE,BERKELEY, CA  94705Census Tract:  4236.01","LA MEDITERRANEE","0103"
"293370","ACTIVE","41","04/05/1994","03/31/2025","FENIKILE, FASSIL T","2955 TELEGRAPH AVE,BERKELEY, CA  94705Census Tract:  4236.01","ETHIOPIA RESTAURANT","0103"
"293734","ACTIVE","41","04/11/1994","10/31/2024","SALDANA, JORGE URENA","2134 ALLSTON WY,BERKELEY, CA  94704-1302Census Tract:  4229.02","CANCUN TAQUERIA INC","0103"
"313193","ACTIVE","58","01/18/1996","12/31/2024","MAIZ HOLDING COMPANY","1328 6TH ST,BERKELEY, CA  94710Census Tract:  4220.00","PICANTE COCINA MEXICANA","0103"
"313193","ACTIVE","47","01/18/1996","12/31/2024","MAIZ HOLDING COMPANY","1328 6TH ST,BERKELEY, CA  94710Census Tract:  4220.00","PICANTE COCINA MEXICANA","0103"
"320443","ACTIVE","47","07/02/1996","07/31/2025","CHU, PHILIP SHAN WEE","1767 SOLANO AVE,BERKELEY, CA  94707-2209Census Tract:  4213.00","KIRIN RESTAURANT","0103"
"331374","ACTIVE","41","09/25/1998","06/30/2024","DELGADILLO, MARIA","2971 SHATTUCK AVE,BERKELEY, CA  94705Census Tract:  4235.00","TAQUERIA LA FAMILIA","0103"
"336588","ACTIVE","41","12/31/1997","11/30/2024","SOBER INC","1598 UNIVERSITY AVE,BERKELEY, CA  94703-1423Census Tract:  4230.00","NORTH BEACH PIZZA","0103"
"338758","ACTIVE","41","02/13/1998","01/31/2025","MUSASHIYA CORPORATION","2126-2128 DWIGHT WY,BERKELEY, CA  94704Census Tract:  4235.00","MUSASHIYA CORPORATION","0103"
"344923","ACTIVE","41","09/23/1998","08/31/2024","ASHKENAZ MUSIC & DANCE COMMUNITY CENTER","1317 SAN PABLO AVE,BERKELEY, CA  94702Census Tract:  4219.00","ASHKENAZ MUSIC & DANCE COMMUNITY CENTER","0103"
"349571","ACTIVE","41","03/23/1999","02/28/2025","BERKELEY BOWL PRODUCE INC","2020 OREGON ST,BERKELEY, CA  94703Census Tract:  4235.00","BERKELEY BOWL PRODUCE","0103"
"363533","ACTIVE","47","06/07/2000","05/31/2025","SWM INC","2439 DURANT AVE,BERKELEY, CA  94704Census Tract:  4228.00","KIPS RESTAURANT","0103"
"375812","ACTIVE","64","06/18/2001","08/31/2024","BERKELEY REPERTORY THEATRE INC","2015-2025 ADDISON ST,BERKELEY, CA  94704Census Tract:  4229.02","BERKELEY REPERTORY THEATRE","0103"
"376492","ACTIVE","41","09/10/2001","08/31/2024","ROMO, JUAN","1446 UNIVERSITY AVE,BERKELEY, CA  94702Census Tract:  4231.00","MONTECRISTO TAQUERIA","0103"
"377982","ACTIVE","77","08/31/2001","12/31/2024","SAUL'S RESTAURANT, INC.","1475 SHATTUCK AVE,BERKELEY, CA  94709Census Tract:  4217.00","SAULS RESTAURANT & DELICATESSEN","0103"
"377982","ACTIVE","47","08/31/2001","12/31/2024","SAUL'S RESTAURANT, INC.","1475 SHATTUCK AVE,BERKELEY, CA  94709Census Tract:  4217.00","SAULS RESTAURANT & DELICATESSEN","0103"
"380506","ACTIVE","41","11/15/2001","10/31/2024","CHINKARLAPRANG, DHONYO TENZIN","2020 UNIVERSITY AVE,BERKELEY, CA  94704Census Tract:  4229.02","CAFE TIBET","0103"
"380738","ACTIVE","47","04/17/2002","03/31/2025","CHIPOTLE MEXICAN GRILL INC","1050 GILMAN ST,BERKELEY, CA  94710Census Tract:  4220.00","CHIPOTLE MEXICAN GRILL","0103"
"381355","ACTIVE","41","11/16/2001","10/31/2024","LA VALS PIZZA EUCLID INC","1834-40 EUCLID AVE,BERKELEY, CA  94709Census Tract:  4225.00","LA VALS PIZZA","0103"
"385879","ACTIVE","21","05/07/2002","04/30/2025","LEDGERS LIQUORS LLC","1399 UNIVERSITY AVE,BERKELEY, CA  94702Census Tract:  4222.00","LEDGERS LIQUOR STORE","0103"
"386521","ACTIVE","41","07/22/2002","06/30/2024","CHAICHANA, KAMONWAN","2466-2468 SHATTUCK AVE,BERKELEY, CA  94704Census Tract:  4229.01","TUK TUK THAI CAFE","0103"
"391354","ACTIVE","20","10/29/2002","09/30/2024","VINO INC","1786 4TH ST, # A,BERKELEY, CA  94710Census Tract:  4220.00","VINO","0103"
"398348","ACTIVE","20","07/10/2003","07/31/2024","GLOBAL VINEYARD IMPORTERS INC","801 CAMELIA ST, STE A,BERKELEY, CA  94710Census Tract:  4220.00","GLOBAL VINEYARD IMPORTERS","0103"
"399436","ACTIVE","41","07/18/2003","10/31/2024","LA NOTE RESTAURANT","2377 SHATTUCK AVE,BERKELEY, CA  94704Census Tract:  4229.01","LA NOTE RESTAURANT","0103"
"399702","ACTIVE","21","07/17/2003","06/30/2025","EZ STOP DELI","2233 SHATTUCK AVE,BERKELEY, CA  94704Census Tract:  4229.02","EZ STOP DELI","0103"
"408526","ACTIVE","41","02/19/2004","01/31/2025","MAO, ROBERT LICHI","3201-07 COLLEGE AVE,BERKELEY, CA  94705Census Tract:  4238.00","MITAMA","0103"
"409565","ACTIVE","77","03/26/2004","02/28/2025","COMEBACK BREWING II INC","1404 4TH ST,BERKELEY, CA  94710Census Tract:  4220.00","TRUMER BREWERY","0103"
"412331","ACTIVE","41","06/18/2004","12/31/2024","BREADS OF INDIA INC","2448 SACRAMENTO ST,BERKELEY, CA  94702Census Tract:  4231.00","BREADS OF INDIA & GOURMET CURRIES","0103"
"413463","ACTIVE","41","08/25/2004","07/31/2024","4 MUSKETEERS SP LLC","2500 SAN PABLO AVE,BERKELEY, CA  94702Census Tract:  4220.00","CAFFE DEL QUARTIERE","0103"
"415960","ACTIVE","21","04/18/2005","04/30/2025","ST HELENA LIQUOR INC","2198 SAN PABLO AVE,BERKELEY, CA  94702Census Tract:  4232.00","ST HELENA LIQUOR INC","0103"
"419076","ACTIVE","77","12/29/2004","11/30/2024","VINTAGE BERKELEY LLC","2113 VINE ST,BERKELEY, CA  94709-1523Census Tract:  4217.00","VINTAGE BERKELEY","0103"
"419076","ACTIVE","20","12/29/2004","11/30/2024","VINTAGE BERKELEY LLC","2113 VINE ST,BERKELEY, CA  94709-1523Census Tract:  4217.00","VINTAGE BERKELEY","0103"
"419076","ACTIVE","42","12/29/2004","11/30/2024","VINTAGE BERKELEY LLC","2113 VINE ST,BERKELEY, CA  94709-1523Census Tract:  4217.00","VINTAGE BERKELEY","0103"
"419076","ACTIVE","58","12/29/2004","11/30/2024","VINTAGE BERKELEY LLC","2113 VINE ST,BERKELEY, CA  94709-1523Census Tract:  4217.00","VINTAGE BERKELEY","0103"
"420371","SUREND","47","02/09/2005","06/30/2025","RIVOLI RESTAURANT INC","1539 SOLANO AVE,BERKELEY, CA  94707-2119Census Tract:  4213.00","RIVOLI RESTAURANT","0103"
"425407","ACTIVE","20","06/14/2005","06/30/2025","7 ELEVEN INC","2601 TELEGRAPH AVE,BERKELEY, CA  94704Census Tract:  4236.02","7 ELEVEN 2232 17582C","0103"
"426770","ACTIVE","47","03/29/2007","02/28/2025","NGUYEN, VI BAO","1715 SOLANO AVE,BERKELEY, CA  94707Census Tract:  4213.00","VANESSAS BISTRO","0103"
"427298","ACTIVE","21","07/29/2005","06/30/2025","PMSS INC","2451 SAN PABLO AVE,BERKELEY, CA  94702-2010Census Tract:  4231.00","ANNAHER GROCERY & LIQUOR","0103"
"428426","ACTIVE","77","09/23/2005","08/31/2024","ESLAMI, AHMAD ALI","2600 SAN PABLO AVE,BERKELEY, CA  94702Census Tract:  4220.00","MISSOURI LOUNGE & CAFE","0103"
"428426","ACTIVE","48","09/23/2005","08/31/2024","ESLAMI, AHMAD ALI","2600 SAN PABLO AVE,BERKELEY, CA  94702Census Tract:  4220.00","MISSOURI LOUNGE & CAFE","0103"
"430470","ACTIVE","41","10/17/2005","09/30/2024","HUANG, LIHONG","1668-74 SHATTUCK AVE,BERKELEY, CA  94709Census Tract:  4224.00","DA LIAN RESTAURANT","0103"
"431273","SUREND","47","01/30/2006","12/31/2024","HANA YOON CORPORATION","235 UNIVERSITY AVE,BERKELEY, CA  94710-1618Census Tract:  4220.00","HANA JAPAN STEAKHOUSE","0103"
"433417","ACTIVE","41","01/06/2006","12/31/2024","HENRO LLC","900 GRAYSON ST,BERKELEY, CA  94710Census Tract:  4220.00","900 GRAYSON","0103"
"436911","ACTIVE","20","05/02/2006","06/30/2025","7 ELEVEN INC","1501 UNIVERSITY AVE,BERKELEY, CA  94703Census Tract:  4223.00","7 ELEVEN STORE 2232 18855D","0103"
"439897","ACTIVE","41","11/07/2006","10/31/2024","CHIPOTLE MEXICAN GRILL INC","2311 TELEGRAPH AVE,BERKELEY, CA  94704-1612Census Tract:  4228.00","CHIPOTLE MEXICAN GRILL","0103"
"440550","ACTIVE","20","07/25/2006","06/30/2025","CHOI, SUSAN","2515 DURANT AVE,BERKELEY, CA  94704Census Tract:  4228.00","JOHNSTONS MARKET","0103"
"443710","ACTIVE","20","09/28/2006","08/31/2024","SEABREEZE MARKET & DELI INC","598 UNIVERSITY AVE,BERKELEY, CA  94710-1625Census Tract:  4220.00","SEABREEZE MARKET & DELI","0103"
"447313","ACTIVE","41","12/07/2006","11/30/2024","LEE, E CHIEN","2516 TELEGRAPH AVE,BERKELEY, CA  94704-2918Census Tract:  4236.02","RACHA CAFE","0103"
"449541","ACTIVE","41","11/04/2009","10/31/2024","KA GROUP INC THE","1620 SHATTUCK AVE,BERKELEY, CA  94709-1612Census Tract:  4224.00","GUERILLA CAFE","0103"
"449875","ACTIVE","47","04/16/2007","03/31/2025","BPR PROPERTIES BERKELEY LLC","2086 ALLSTON WAY,BERKELEY, CA  94704-1430Census Tract:  4229.02","SHATTUCK HOTEL PLAZA","0103"
"449875","ACTIVE","68","04/16/2007","03/31/2025","BPR PROPERTIES BERKELEY LLC","2086 ALLSTON WAY,BERKELEY, CA  94704-1430Census Tract:  4229.02","SHATTUCK HOTEL PLAZA","0103"
"453730","ACTIVE","20","08/14/2007","06/30/2025","7 ELEVEN INC","2887 COLLEGE AVE,BERKELEY, CA  94705-2113Census Tract:  4001.00","7 ELEVEN STORE 2366 16192E","0103"
"456912","ACTIVE","41","11/01/2007","10/31/2024","NATASIRI, ANCHALEE","1094-1096 DWIGHT WAY,BERKELEY, CA  94710-2538Census Tract:  4220.00","ANCHALEE THAI CUISINE","0103"
"458521","ACTIVE","41","02/14/2008","01/31/2025","GJ ENTERPRISE GROUP INC","1799 4TH ST, # F,BERKELEY, CA  94710-1741Census Tract:  4220.00","CAFE M","0103"
"461343","ACTIVE","64","07/30/2008","06/30/2025","SHOTGUN PLAYERS INC THE","1901 ASHBY AVE,BERKELEY, CA  94703-2505Census Tract:  4235.00","SHOTGUN PLAYERS INC","0103"
"465654","ACTIVE","21","05/13/2008","04/30/2025","MANTEJ & BALJIT CORP","1296 SAN PABLO AVE,BERKELEY, CA  94706-2218Census Tract:  4220.00","PIC N PAC LIQUORS","0103"
"467738","ACTIVE","20","07/18/2008","06/30/2024","SACRED OBJECTS DISTRIBUTION LLC","3042 CLAREMONT AVE,BERKELEY, CA  94705-2630Census Tract:  4238.00","AFIKOMEN JUDAICA","0103"
"467944","ACTIVE","41","08/13/2008","07/31/2024","BARNEYS SOLANO INC","1591 SOLANO AVE,BERKELEY, CA  94707-2116Census Tract:  4213.00","BARNEYS","0103"
"467952","ACTIVE","41","08/13/2008","07/31/2025","BARNEYS SHATTUCK INCORPORATED","1600 SHATTUCK AVE, STE 112,BERKELEY, CA  94709-1647Census Tract:  4224.00","BARNEYS SHATTUCK INC","0103"
"468829","ACTIVE","42","10/23/2008","09/30/2024","VINTAGE BERKELEY LLC","2949 COLLEGE AVE,BERKELEY, CA  94705Census Tract:  4001.00","VINTAGE BERKELEY","0103"
"468829","ACTIVE","20","10/23/2008","09/30/2024","VINTAGE BERKELEY LLC","2949 COLLEGE AVE,BERKELEY, CA  94705Census Tract:  4001.00","VINTAGE BERKELEY","0103"
"470997","SUREND","47","08/12/2010","07/31/2024","FALLANGHINA LLC","2514-2516 SAN PABLO AVE,BERKELEY, CA  94702-2013Census Tract:  4220.00","FALLANGHINA","0103"
"471886","ACTIVE","21","09/08/2010","06/30/2025","TRADER JOES COMPANY","1885 UNIVERSITY AVE,BERKELEY, CA  94703Census Tract:  4223.00","TRADER JOES 186","0103"
"476424","ACTIVE","41","05/29/2009","04/30/2025","BERKELEY BOWL PRODUCE INC","920 HEINZ AVE,BERKELEY, CA  94710Census Tract:  4220.00","BERKELEY BOWL WEST","0103"
"477653","ACTIVE","20","06/22/2009","05/31/2025","GARFIELD BEACH CVS LLC","1451 SHATTUCK AVE,BERKELEY, CA  94709-1410Census Tract:  4217.00","CVS PHARMACY STORE 9941","0103"
"477757","ACTIVE","41","07/03/2009","06/30/2025","QUACH, HUONG BICH","2533 TELEGRAPH AVE,BERKELEY, CA  94704-2917Census Tract:  4236.02","PHO K & K","0103"
"478718","ACTIVE","47","05/21/2009","04/30/2025","GIORDANO, ARLENE ANITA","2629 TELEGRAPH AVE,BERKELEY, CA  94704-3320Census Tract:  4236.02","LE BATEAU IVRE THE DRUNKEN BOAT","0103"
"480127","ACTIVE","20","11/09/2009","10/31/2024","MISTARR WINE IMPORTERS","1331 8TH ST, UNIT F,BERKELEY, CA  94710-1435Census Tract:  4220.00","MISTARR WINE IMPORTERS","0103"
"481010","ACTIVE","58","11/10/2009","10/31/2024","GATHER RESTAURANT LLC","2200 OXFORD ST,BERKELEY, CA  94704Census Tract:  4229.02","GATHER RESTAURANT","0103"
"481010","ACTIVE","47","11/10/2009","10/31/2024","GATHER RESTAURANT LLC","2200 OXFORD ST,BERKELEY, CA  94704Census Tract:  4229.02","GATHER RESTAURANT","0103"
"481329","ACTIVE","47","06/23/2010","05/31/2025","BERKELEY RESTAURANT GROUP LLC","2130 CENTER ST, STE 101,BERKELEY, CA  94704-1384Census Tract:  4229.02","IPPUKU RESTAURANT","0103"
"481329","ACTIVE","58","06/23/2010","05/31/2025","BERKELEY RESTAURANT GROUP LLC","2130 CENTER ST, STE 101,BERKELEY, CA  94704-1384Census Tract:  4229.02","IPPUKU RESTAURANT","0103"
"483049","ACTIVE","20","12/14/2009","11/30/2024","MUTHANA, ALI MUSLEH","1601 ALCATRAZ AVE,BERKELEY, CA  94703-2611Census Tract:  4240.01","ALCATRAZ MARKET","0103"
"483652","ACTIVE","58","09/13/2010","08/31/2024","STRADAVARIUS INC","2680 BANCROFT WAY,BERKELEY, CA  94704-1717Census Tract:  4228.00","BANCROFT CATERING","0103"
"483652","ACTIVE","47","09/13/2010","08/31/2024","STRADAVARIUS INC","2680 BANCROFT WAY,BERKELEY, CA  94704-1717Census Tract:  4228.00","BANCROFT CATERING","0103"
"484391","ACTIVE","47","03/08/2011","02/28/2025","BERKELEY MUSIC GROUP LLC","2036 UNIVERSITY AVE,BERKELEY, CA  94704-1006Census Tract:  4229.02","UC THEATRE","0103"
"485550","ACTIVE","41","04/13/2010","03/31/2025","NOWROUZI, ROUHOLLAH R","2146 CENTER ST,BERKELEY, CA  94704-1304Census Tract:  4229.02","CAFE RIO","0103"
"485770","ACTIVE","47","08/02/2010","07/31/2025","TTZ LLC","1820 4TH ST,BERKELEY, CA  94710-1911Census Tract:  4220.00","ZUT!","0103"
"503978","ACTIVE","47","04/28/2011","03/31/2025","BERKELEY CITY CLUB","2315 DURANT AVE,BERKELEY, CA  94704-1606Census Tract:  4228.00","BERKELEY CITY CLUB","0103"
"504162","ACTIVE","47","10/27/2011","09/30/2024","MARSH A BREEDING GROUND FOR NEW PERFORMANCE THE","2120 ALLSTON WAY,BERKELEY, CA  94704-1323Census Tract:  4229.02","MARSH ARTS CENTER THE","0103"
"504857","ACTIVE","20","12/30/2010","11/30/2024","VINOSUR LLC","617 ALVARADO RD,BERKELEY, CA  94705-1557Census Tract:  4001.00","","0103"
"505333","ACTIVE","64","05/19/2011","04/30/2025","BERKELEY SOCIETY FOR THE PRESERVATION OF TRADITION","2020 ADDISON ST,BERKELEY, CA  94704-1104Census Tract:  4229.02","FREIGHT & SALVAGE COFFEEHOUSE","0103"
"509380","ACTIVE","41","09/09/2011","08/31/2024","YARAMALA, VENKATA REDDY","2323 SHATTUCK AVE,BERKELEY, CA  94704-1516Census Tract:  4229.01","NAMASTE MADRAS INDIAN CUISINE","0103"
"509813","ACTIVE","41","06/23/2011","05/31/2025","DAIDAI LLC","2566 TELEGRAPH AVE, STE B,BERKELEY, CA  94704-2900Census Tract:  4236.02","KIRAKU","0103"
"510289","ACTIVE","41","06/13/2011","05/31/2025","SANCHEZ, JUAN FRANCISCO","2042 UNIVERSITY AVE,BERKELEY, CA  94704-1006Census Tract:  4229.02","CAFE PLATANO PARTNERSHIP","0103"
"511516","ACTIVE","47","04/25/2012","03/31/2025","ES VERDAD LLC","2020 SHATTUCK AVE,BERKELEY, CA  94704-1117Census Tract:  4217.00","COMAL","0103"
"512632","ACTIVE","47","09/12/2011","08/31/2024","STRADAVARIUS INC","2700 BANCROFT WY,BERKELEY, CA  94704Census Tract:  4227.00","FREEHOUSE","0103"
"512632","ACTIVE","58","09/12/2011","08/31/2024","STRADAVARIUS INC","2700 BANCROFT WY,BERKELEY, CA  94704Census Tract:  4227.00","FREEHOUSE","0103"
"513867","ACTIVE","41","09/29/2011","08/31/2024","GRACE STREET CATERING","BANCROFT & TELEGRAPH AVE, ZELLERBACH AUDITORIUM,BERKELEY, CA  94702Census Tract:  4231.00","CAFE ZELLERBACH","0103"
"513867","ACTIVE","58","09/29/2011","08/31/2024","GRACE STREET CATERING","BANCROFT & TELEGRAPH AVE, ZELLERBACH AUDITORIUM,BERKELEY, CA  94702Census Tract:  4231.00","CAFE ZELLERBACH","0103"
"514825","ACTIVE","47","05/02/2012","04/30/2025","KING YEN RESTAURANT INC","2995 COLLEGE AVE,BERKELEY, CA  94705-2215Census Tract:  4238.00","KING YEN RESTAURANT","0103"
"515376","ACTIVE","20","02/14/2012","06/30/2025","WALGREEN CO","1050 GILMAN ST,BERKELEY, CA  94710Census Tract:  4220.00","WALGREENS 2314","0103"
"516071","ACTIVE","47","06/07/2012","06/30/2025","HAMEDI FARD, HAMEI ADRIAN","2056 SAN PABLO AVE,BERKELEY, CA  94702-1614Census Tract:  4232.00","CAFE V EL PATIO, INC.","0103"
"516071","ACTIVE","58","06/07/2012","06/30/2025","HAMEDI FARD, HAMEI ADRIAN","2056 SAN PABLO AVE,BERKELEY, CA  94702-1614Census Tract:  4232.00","CAFE V EL PATIO, INC.","0103"
"516769","ACTIVE","20","01/06/2012","12/31/2024","AEMILIA IMPORTS LLC","564 SAN LUIS RD,BERKELEY, CA  94707-1743Census Tract:  4212.00","","0103"
"516946","ACTIVE","41","01/10/2012","12/31/2024","YOO, SUK","2977 COLLEGE AVE,BERKELEY, CA  94705-2215Census Tract:  4238.00","MANPUKU","0103"
"517522","ACTIVE","41","03/28/2012","02/28/2025","SITU, JIAN DONG","1695 SOLANO AVE,BERKELEY, CA  94707Census Tract:  4213.00","AKEMI JAPANESE RESTAURANT","0103"
"518822","ACTIVE","41","03/23/2012","12/31/2024","CRESCENT CITY RESTAURANTS LLC","2261 SHATTUCK AVE,BERKELEY, CA  94704-1432Census Tract:  4229.02","ANGELINES LOUISIANA KITCHEN","0103"
"519151","ACTIVE","20","05/17/2012","04/30/2025","ALI, MOHAMED","2974 SACRAMENTO ST,BERKELEY, CA  94702-2510Census Tract:  4233.00","SACRAMENTO MARKET","0103"
"520356","ACTIVE","21","07/20/2012","06/30/2025","GARFIELD BEACH CVS LLC","2655 TELEGRAPH AVE,BERKELEY, CA  94704-3323Census Tract:  4236.02","CVS PHARMACY # 10121","0103"
"521169","ACTIVE","41","06/05/2012","05/31/2025","ROYALE UNION, LLC.","1181-83 UNIVERSITY AVE,BERKELEY, CA  94702-1605Census Tract:  4222.00","EAT @ THAI","0103"
"521628","ACTIVE","41","06/08/2012","05/31/2025","MANALJAV, ZOLZAYA","1688 SHATTUCK AVE,BERKELEY, CA  94709-1631Census Tract:  4224.00","CHA-YA RESTAURANT","0103"
"521906","ACTIVE","41","08/06/2012","07/31/2025","MINTLEAF II, LLC","2865 SEVENTH ST,BERKELEY, CA  94710-2704Census Tract:  4220.00","MINT LEAF VIETNAMESE RESTAURANT","0103"
"528663","REVPEN","21","05/22/2013","04/30/2024","KINSEY, ARTHUR WILLIAM","1590 HOPKINS ST,BERKELEY, CA  94707-2732Census Tract:  4218.00","MONTEREY LIQUORS","0103"
"528677","ACTIVE","41","01/28/2013","12/31/2024","BOONSIRI","2272 SHATTUCK AVE,BERKELEY, CA  94704-1431Census Tract:  4229.02","TOSS NOODLE BAR","0103"
"530447","ACTIVE","41","04/19/2013","03/31/2025","MASARWEH, BASMA RAY","1843 SOLANO AVE,BERKELEY, CA  94707-2306Census Tract:  4213.00","TROY","0103"
"530864","ACTIVE","20","06/19/2013","05/31/2025","VARIETAL GROUP THE, LLC","46 ROCK LANE,BERKELEY, CA  94708-1310Census Tract:  4211.00","VARIETAL THE","0103"
"533612","ACTIVE","21","09/09/2013","08/31/2024","GAZALI, MOHAMED HIZAM","3045 SAN PABLO AVE,BERKELEY, CA  94702-2427Census Tract:  4008.00","EASY MARKET","0103"
"534388","ACTIVE","41","09/27/2013","08/31/2024","JECHI INC","933 ASHBY AVE,BERKELEY, CA  94710-2805Census Tract:  4220.00","SPOON KOREAN BISTRO","0103"
"535518","ACTIVE","41","10/04/2013","09/30/2024","KHAM TIBETAN RESTAURANT LLC","1593 SOLANO AVE,BERKELEY, CA  94707-2116Census Tract:  4213.00","NOMAD TIBETAN RESTAURANT","0103"
"535978","ACTIVE","47","04/08/2014","08/31/2024","KANPAI PARTNERS, LLC","1830 4TH ST,BERKELEY, CA  94710-1911Census Tract:  4220.00","IYASARE","0103"
